,alginate,,alg+Ac,,AC,,a1,a2,a3,a4,a5,a6,a7,a8
4298,69.01304,,73.286931,,64.725856,,70.909131,62.368527,63.564415,73.029003,67.567881,63.174029,42.355507,38.929919
4296,69.035023,,73.321505,,64.739608,,70.888156,62.358767,63.5772,73.019595,67.561506,63.167437,42.364605,38.935159
4294,69.060871,,73.342903,,64.742879,,70.848179,62.335336,63.592939,72.997234,67.546441,63.158906,42.37087,39.000599
4292,69.080908,,73.348523,,64.742637,,70.800082,62.300203,63.614605,72.972325,67.524862,63.152431,42.380027,39.065506
4290,69.099005,,73.338086,,64.731936,,70.741162,62.261216,63.636238,72.947468,67.494604,63.148013,42.386354,39.160077
4288,69.109357,,73.312245,,64.717736,,70.682283,62.224262,63.654865,72.935639,67.462184,63.143656,42.386994,39.223885
4286,69.113902,,73.28119,,64.703514,,70.628868,62.191311,63.670488,72.931639,67.427604,63.143354,42.384813,39.287167
4284,69.114577,,73.25277,,64.692739,,70.58904,62.16629,63.677168,72.925091,67.395205,63.141117,42.379814,39.319866
4282,69.111382,,73.226982,,64.688873,,70.562784,62.151168,63.671948,72.918593,67.371493,63.138945,42.374855,39.322116
4280,69.108188,,73.219495,,64.695373,,70.558207,62.143994,63.657812,72.896604,67.356462,63.132845,42.37279,39.324026
4278,69.10306,,73.222456,,64.70529,,70.567161,62.146736,63.634772,72.877272,67.350106,63.124815,42.370761,39.265743
4276,69.095999,,73.230631,,64.71862,,70.584217,62.151564,63.608772,72.865775,67.354589,63.114857,42.365919,39.117653
4274,69.085073,,73.238795,,64.728434,,70.601249,62.158485,63.58278,72.867287,67.367735,63.102972,42.358266,38.910001
4272,69.066415,,73.236515,,64.724354,,70.610147,62.165549,63.562725,72.892152,67.387373,63.091158,42.344957,38.613267
4270,69.045828,,73.231624,,64.716777,,70.616325,62.168844,63.548596,72.932604,67.411333,63.079416,42.331694,38.257609
4268,69.019445,,73.216306,,64.705705,,70.619786,62.168377,63.540386,72.983489,67.439611,63.065751,42.315631,37.8136
4266,68.995002,,73.195785,,64.694598,,70.625935,62.162198,63.541046,73.031923,67.46571,63.054157,42.299615,37.37063
4264,68.968631,,73.170065,,64.690361,,70.634768,62.150314,63.547606,73.072801,67.49396,63.042638,42.289332,36.928706
4262,68.951928,,73.14436,,64.696433,,70.643583,62.136654,63.560056,73.098447,67.515704,63.033191,42.284775,36.576542
4260,68.942959,,73.12127,,64.71625,,70.65238,62.125147,63.575434,73.111506,67.533111,63.025816,42.291616,36.343261
4258,68.945585,,73.105997,,64.74634,,70.655767,62.117761,63.593735,73.10447,67.544019,63.01852,42.304162,36.287279
4256,68.963666,,73.10113,,64.793581,,70.65375,62.116466,63.612003,73.082108,67.546271,63.015293,42.328081,36.407781
4254,68.985607,,73.09886,,64.833833,,70.646335,62.121272,63.627285,73.04969,67.544198,63.014142,42.35201,36.674562
4252,69.011408,,73.096585,,64.870549,,70.638914,62.132188,63.636636,73.007167,67.53564,63.019056,42.38162,37.057598
4250,69.031411,,73.086513,,64.886527,,70.628796,62.147263,63.640063,72.964802,67.524926,63.030036,42.405566,37.497748
4248,69.045617,,73.071249,,64.881797,,70.618674,62.166505,63.637575,72.922549,67.512057,63.047084,42.426687,37.965488
4246,69.055959,,73.048205,,64.863264,,70.613927,62.186002,63.629178,72.888105,67.499194,63.070197,42.439324,38.343868
4244,69.062439,,73.017388,,64.834383,,70.61186,62.205763,63.617827,72.861446,67.488499,63.099379,42.443488,38.604143
4242,69.070849,,72.983995,,64.808907,,70.617843,62.223836,63.60941,72.845129,67.48213,63.136623,42.447677,38.688646
4240,69.079258,,72.948027,,64.783397,,70.62918,62.238266,63.59804,72.836568,67.477924,63.175946,42.446235,38.627275
4238,69.089597,,72.91208,,64.764713,,70.63781,62.251025,63.586661,72.835755,67.47804,63.215355,42.444822,38.536799
4236,69.101865,,72.876152,,64.752845,,70.649103,62.258195,63.572333,72.84268,67.478159,63.252858,42.440614,38.417363
4234,69.116062,,72.848011,,64.744353,,70.655007,62.263709,63.560937,72.857336,67.478281,63.284468,42.436436,38.442663
4232,69.134116,,72.82506,,64.739231,,70.65821,62.267574,63.546595,72.872008,67.478406,63.308192,42.435113,38.554251
4230,69.150239,,72.812468,,64.740898,,70.658716,62.271762,63.538116,72.884127,67.472064,63.326027,42.439463,38.722876
4228,69.168289,,72.810221,,64.749342,,70.656528,62.276279,63.532558,72.893695,67.461418,63.33598,42.446656,38.919475
