Frequency (Hz),Relative Permittivity
100.0,2.29999985000015
104.24040070215568,2.299999843639562
108.66061138545969,2.29999983700926
113.26825671361537,2.299999830097807
118.07128466661904,2.299999822893282
123.07798025066658,2.2999998153832566
128.29697978941476,2.299999807554777
133.73728582124963,2.2999997993943393
139.40828262825787,2.2999997908878673
145.31975242368955,2.299999782020688
151.48189222583457,2.2999997727775057
157.90533144741758,2.2999997631423765
164.60115023085498,2.299999753098681
171.58089856100048,2.299999742629094
178.85661618834618,2.2999997317155554
186.44085339704873,2.2999997203392413
194.34669265360202,2.2999997084805273
202.58777117350172,2.2999996961189586
211.17830444482445,2.2999996832332124
220.13311074930323,2.2999996698010605
229.4676367231936,2.2999996557993345
239.197984002024,2.299999641203882
249.34093699518803,2.299999625989527
259.91399183829327,2.2999996101300253
270.93538657320516,2.299999593598021
282.42413260784355,2.2999995763649976
294.4000475100034,2.2999995584012285
306.8837891917642,2.2999995396757287
319.89689154345376,2.299999520156198
333.46180157863625,2.2999994998089655
347.60191815419773,2.2999994785989353
362.341632332315,2.2999994564895205
377.7063694539369,2.2999994334425855
393.72263299634835,2.2999994094183758
410.41805029047094,2.299999384375451
427.8214201767617,2.299999358270615
445.96276268190957,2.299999331058839
464.87337080202565,2.2999993026931853
484.5858644816496,2.2999992731247256
505.13424688167663,2.299999242302457
526.5539630332755,2.299999210173214
548.8819609789672,2.2999991766815775
572.1567555063252,2.299999141769777
596.418494584246,2.299999105377594
621.7090286163827,2.2999990674422546
648.0719826311971,2.299999027898326
675.5528315331646,2.2999989866775983
704.1989785449296,2.2999989437089705
734.0598369757212,2.299998898918327
765.1869154570826,2.299998852228409
797.6339067929281,2.299998803558683
831.4567805772064,2.2999987528251986
866.7138797389233,2.2999986999404483
903.4660211810534,2.2999986448132117
941.7766006869518,2.299998587348403
981.7117022752193,2.2999985274469026
1023.3402121916423,2.2999984650053897
1066.7339377348571,2.299998399916162
1111.967731120699,2.29999833206695
1159.1196185988856,2.299998261340725
1208.270935044776,2.299998187615496
1259.506464258359,2.2999981107640988
1312.9145852124652,2.299998030653978
1368.587424502519,2.299997947146958
1426.6210152607384,2.299997860099005
1487.1154628089537,2.299997769359978
1550.1751173357704,2.299997674773369
1615.908753895919,2.299997576176036
1684.4297600423151,2.2999974733979185
1755.8563314144687,2.2999973662617474
1830.311675620613,2.299997254582736
1907.924224765265,2.2999971381682642
1988.8278569888098,2.299997016817545
2073.162127401231,2.2999968903212773
2161.0725088083764,2.2999967584612886
2252.7106426459827,2.2999966210101546
2348.2346005542763,2.29999647773081
2447.8091570444403,2.299996328376139
2551.6060737271864,2.299996172688547
2659.8043955937583,2.2999960103995223
2772.590759860484,2.299995841229166
2890.1597179095115,2.299995664885715
3012.7140708811644,2.2999954810650363
3140.465219496752,2.299995289450104
3273.633528715248,2.2999950897104515
3412.4487078528896,2.299994881501604
3557.150206821386,2.299994664464483
3707.9876291681726,2.299994438224786
3865.221162631262,2.2999942023923463
4029.122027951352,2.2999939565604555
4199.9729467153065,2.299993700305165
4378.068629038166,2.299993433184556
4563.716281924763,2.2999931547379755
4757.236139187889,2.2999928644852443
4958.962013837217,2.2999925619258303
5169.241873891604,2.2999922465379843
5388.438442608223,2.2999919177778416
5616.92982416381,2.2999915750784856
5855.1101558672435,2.2999912178489708
6103.390288028621,2.2999908454733045
6362.198492657489,2.2999904573093857
6631.981202212675,2.2999900526879005
6913.203779678128,2.2999896309111665
7206.351321293052,2.2999891912519344
7511.9294933209685,2.2999887329521327
7830.465404301183,2.2999882552215642
8162.508514287237,2.2999877572365452
8508.63158264058,2.2999872381384856
8869.431656014713,2.2999866970324137
9245.53109823358,2.2999861329854316
9637.578663841088,2.299985545025114
10046.250617173402,2.2999849321378294
10472.251898884355,2.2999842932670003
10916.317341936148,2.2999836273112817
11379.21293915314,2.2999829331226675
11861.737164524791,2.299982209504515
12364.72235053715,2.299981455209486
12889.036123908916,2.2999806689374016
13435.582902208263,2.299979849333006
14005.305453932226,2.299978994983636
14599.18652473977,2.2999781044167897
15218.250532643871,2.2999771760975998
15863.565335085928,2.299976208426189
16536.244070941786,2.299975199734926
17237.4470806362,2.2999741482855547
17968.38390767723,2.2999730522662105
18730.315385064383,2.2999719097883076
19524.55581016861,2.2999707188832925
20352.475211835797,2.2999694774992667
21215.501713624522,2.29996818349746
22115.123997254886,2.2999668346485627
23052.893870517106,2.2999654286288957
24030.428944069696,2.2999639630164257
25049.415421745023,2.2999624352866084
26111.611009174623,2.29996084280806
27218.847945751797,2.2999591828380423
28373.036165162113,2.2999574525177646
29576.166589932567,2.29995564886748
30830.31456568277,2.2999537687813816
32137.643441002758,2.299951809022283
33500.40829913136,2.299949766216074
34920.95984787271,2.299947636845944
36401.748474461376,2.2999454172463647
37945.32847236942,2.2999431035968185
39554.36244734702,2.2999406919152636
41231.62591029748,2.2999381780513293
42980.01206490798,2.2999355576792198
44802.53679829499,2.2999328262903282
46702.34388327331,2.2999299791855368
48682.71040122284,2.299927011467194
50747.052394904764,2.2999239180307645
52898.93076098146,2.2999206935561194
55142.05739240302,2.2999173324984725
57480.301581253625,2.299913829078933
59917.696693106125,2.2999101772746684
62458.44712439618,2.2999063708086522
65106.93555481468,2.299902403138993
67867.73050723302,2.2998982674478134
70745.59422819878,2.29989395662967
73745.49090259561,2.2998894632794933
76872.59521663736,2.299884779680025
80132.30128396886,2.2998798977887396
83530.23195026787,2.29987480922422
87072.24849239922,2.2998695052519724
90764.46072885356,2.2998639767696583
94613.23755890779,2.2998582142917106
