Clay Content (%),Porosity (Fraction),Polyfit Clay Content (x_smooth),Polyfit Porosity (y_smooth)
0.0,0.25,0.0,0.26873215003287804
3.45,0.24,0.20040080160320642,0.2674932498285837
6.9,0.23,0.40080160320641284,0.26625969960475676
10.34,0.22,0.6012024048096193,0.2650315136368553
13.79,0.21,0.8016032064128257,0.2638087062003375
17.24,0.2,1.0020040080160322,0.2625912915706613
20.69,0.18,1.2024048096192386,0.2613792840232848
24.14,0.17,1.402805611222445,0.26017269783366614
27.59,0.16,1.6032064128256514,0.25897154727726335
31.03,0.16,1.8036072144288577,0.25777584662953446
34.48,0.15,2.0040080160320644,0.2565856101659376
37.93,0.15,2.2044088176352705,0.25540085216193087
41.38,0.14,2.404809619238477,0.25422158689297225
44.83,0.13,2.6052104208416833,0.25304782863451986
48.28,0.12,2.80561122244489,0.2518795916620318
51.72,0.11,3.006012024048096,0.2507168902509661
55.17,0.17,3.2064128256513027,0.2495597386767808
58.62,0.2,3.4068136272545093,0.24840815121493406
62.07,0.24,3.6072144288577155,0.24726214214088388
65.52,0.25,3.807615230460922,0.2461217257300884
68.97,0.26,4.008016032064129,0.2449869162580056
72.41,0.3,4.208416833667335,0.24385772800009362
75.86,0.33,4.408817635270541,0.2427341752318105
79.31,0.35,4.609218436873747,0.24161627222861437
82.76,0.38,4.809619238476954,0.24050403326596323
86.21,0.4,5.01002004008016,0.23939747261931518
89.66,0.46,5.210420841683367,0.2382966045641283
93.1,0.5,5.410821643286574,0.23720144337586063
96.55,0.55,5.61122244488978,0.2361120033299703
100.0,0.61,5.811623246492986,0.23502829870191533
,,6.012024048096192,0.2339503437671538
,,6.212424849699399,0.2328781528011438
,,6.412825651302605,0.23181174007934338
,,6.613226452905812,0.23075111987721064
,,6.813627254509019,0.22969630647020364
,,7.014028056112225,0.22864731413378045
,,7.214428857715431,0.22760415714339913
,,7.414829659318637,0.22656684977451777
,,7.615230460921844,0.22553540630259442
,,7.81563126252505,0.22450984100308718
,,8.016032064128257,0.22349016815145412
,,8.216432865731463,0.22247640202315327
,,8.41683366733467,0.22146855689364275
,,8.617234468937877,0.2204666470383806
,,8.817635270541082,0.2194706867328249
,,9.01803607214429,0.21848069025243377
,,9.218436873747494,0.2174966718726652
,,9.418837675350701,0.2165186458689773
,,9.619238476953909,0.21554662651682815
,,9.819639278557114,0.21458062809167583
,,10.02004008016032,0.21362066486897838
,,10.220440881763528,0.2126667511241939
,,10.420841683366733,0.21171890113278044
,,10.62124248496994,0.2107771291701961
,,10.821643286573147,0.2098414495118989
,,11.022044088176353,0.20891187643334697
,,11.22244488977956,0.20798842420999836
,,11.422845691382767,0.20707110711731114
,,11.623246492985972,0.20615993943074337
,,11.823647294589179,0.20525493542575313
,,12.024048096192384,0.20435610937779852
,,12.224448897795591,0.20346347556233757
,,12.424849699398798,0.20257704825482836
,,12.625250501002004,0.201696841730729
,,12.82565130260521,0.2008228702654975
,,13.026052104208418,0.19995514813459198
,,13.226452905811623,0.19909368961347051
,,13.42685370741483,0.1982385089775911
,,13.627254509018037,0.1973896205024119
,,13.827655310621243,0.19654703846339097
,,14.02805611222445,0.19571077713598634
,,14.228456913827655,0.19488085079565615
,,14.428857715430862,0.19405727371785836
,,14.629258517034069,0.19324006017805115
,,14.829659318637274,0.19242922445169253
,,15.030060120240481,0.19162478081424061
,,15.230460921843688,0.19082674354115345
,,15.430861723446894,0.1900351269078891
,,15.6312625250501,0.18924994518990568
,,15.831663326653308,0.1884712126626612
,,16.032064128256515,0.18769894360161377
,,16.23246492985972,0.18693315228222146
,,16.432865731462925,0.18617385297994232
,,16.633266533066134,0.18542105997023445
,,16.83366733466934,0.18467478752855593
,,17.034068136272545,0.1839350499303648
,,17.234468937875754,0.1832018614511191
,,17.43486973947896,0.18247523636627702
,,17.635270541082164,0.1817551889512965
,,17.835671342685373,0.1810417334816357
,,18.03607214428858,0.18033488423275265
,,18.236472945891784,0.17963465548010543
,,18.43687374749499,0.17894106149915212
,,18.637274549098198,0.17825411656535078
,,18.837675350701403,0.17757383495415952
,,19.03807615230461,0.17690023094103635
,,19.238476953907817,0.17623331880143936
,,19.438877755511022,0.17557311281082666
,,19.639278557114228,0.17491962724465632
,,19.839679358717436,0.17427287637838632
,,20.04008016032064,0.17363287448747483
,,20.240480961923847,0.17299963584737993
,,20.440881763527056,0.17237317473355962
,,20.64128256513026,0.171753505421472
,,20.841683366733466,0.17114064218657515
,,21.042084168336675,0.17053459930432716
,,21.24248496993988,0.16993539105018607
,,21.442885771543086,0.16934303169960996
,,21.643286573146295,0.1687575355280569
,,21.8436873747495,0.16817891681098496
,,22.044088176352705,0.16760718982385225
,,22.244488977955914,0.16704236884211676
,,22.44488977955912,0.16648446814123666
,,22.645290581162325,0.16593350199666995
,,22.845691382765533,0.16538948468387474
,,23.04609218436874,0.16485243047830908
,,23.246492985971944,0.16432235365543107
,,23.44689378757515,0.16379926849069876
,,23.647294589178358,0.1632831892595702
,,23.847695390781563,0.16277413023750348
,,24.04809619238477,0.1622721056999567
,,24.248496993987978,0.1617771299223879
,,24.448897795591183,0.16128921718025518
,,24.649298597194388,0.16080838174901657
,,24.849699398797597,0.16033463790413016
,,25.050100200400802,0.15986799992105402
,,25.250501002004007,0.15940848207524627
,,25.450901803607216,0.15895609864216492
,,25.65130260521042,0.15851086389726804
,,25.851703406813627,0.15807279211601374
,,26.052104208416836,0.1576418975738601
,,26.25250501002004,0.15721819454626512
,,26.452905811623246,0.15680169730868695
,,26.653306613226455,0.1563924201365836
